,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
19,W,Wayfair Inc.,,26.61 +1.47 (+5.85%),1.47,+5.85%,5.369M,5.45M,3.378B,-,-54.07%,
20,OZK,Bank OZK,,41.63 +2.29 (+5.82%),2.29,+5.82%,2.707M,1.408M,4.729B,6.78,-10.18%,
21,FANG,"Diamondback Energy, Inc.",,137.64 +7.42 (+5.70%),7.42,+5.70%,3.347M,2.801M,40.478B,8.86,-34.76%,
22,RTO,Rentokil Initial plc,,23.08 +1.24 (+5.68%),1.24,+5.68%,3.533M,855277,11.692B,28.85,-14.72%,
23,NOG,"Northern Oil and Gas, Inc.",,24.19 +1.26 (+5.49%),1.26,+5.49%,2.133M,1.912M,2.391B,4.71,-45.47%,
24,WFRD,Weatherford International plc,,46.68 +2.40 (+5.41%),2.4,+5.41%,1.315M,1.509M,3.4B,6.92,-60.08%,
25,ELF,"e.l.f. Beauty, Inc.",,52.65 +2.70 (+5.41%),2.7,+5.41%,2.083M,3.279M,2.969B,31.53,-70.18%,
26,LRLCY,L'Oréal S.A.,,80.90 +4.12 (+5.37%),4.12,+5.37%,66573,247432,220.183B,29.85,-18.64%,
27,PCVX,"Vaxcyte, Inc.",,30.65 +1.53 (+5.25%),1.53,+5.25%,1.696M,1.975M,3.947B,-,-51.96%,
28,ANF,Abercrombie & Fitch Co.,,72.98 +3.61 (+5.20%),3.61,+5.20%,1.552M,2.55M,3.566B,6.83,-36.54%,
29,HAL,Halliburton Company,,22.53 +1.10 (+5.13%),1.1,+5.13%,18.168M,12.664M,19.42B,7.96,-44.55%,
30,NE,Noble Corporation plc,,20.42 +0.99 (+5.10%),0.99,+5.10%,2.323M,2.624M,3.242B,6.90,-56.97%,
31,SAIA,"Saia, Inc.",,334.55 +16.05 (+5.04%),16.05,+5.04%,423222,563531,8.91B,24.78,-39.05%,
32,GAP,"The Gap, Inc.",,19.13 +0.90 (+4.94%),0.9,+4.94%,8.46M,8.978M,7.204B,8.70,-13.31%,
33,FUN,Six Flags Entertainment Corporation,,33.40 +1.56 (+4.90%),1.56,+4.90%,1.093M,1.611M,3.352B,-,-17.21%,
34,UAA,"Under Armour, Inc.",,5.83 +0.27 (+4.86%),0.27,+4.86%,16.449M,14.385M,2.445B,-,-15.89%,
35,NEXT,NextDecade Corporation,,7.82 +0.36 (+4.83%),0.36,+4.83%,2.499M,1.964M,2.037B,-,25.59%,
36,APA,APA Corporation,,16.11 +0.74 (+4.81%),0.74,+4.81%,7.363M,9.04M,5.826B,7.10,-52.61%,
37,HP,"Helmerich & Payne, Inc.",,20.59 +0.94 (+4.78%),0.94,+4.78%,1.35M,1.885M,2.046B,6.80,-52.27%,
38,UEC,Uranium Energy Corp.,,5.05 +0.23 (+4.77%),0.23,+4.77%,6.941M,8.525M,2.165B,-,-29.43%,
39,IONQ,"IonQ, Inc.",,25.74 +1.17 (+4.76%),1.17,+4.76%,10.084M,19.749M,6.149B,-,233.38%,
40,SMG,The Scotts Miracle-Gro Company,,52.17 +2.36 (+4.74%),2.36,+4.74%,1.345M,1.14M,2.998B,-,-26.71%,
41,RH,RH,,161.13 +7.28 (+4.73%),7.28,+4.73%,1.209M,1.537M,3.018B,44.51,-37.28%,
42,PR,Permian Resources Corporation,,12.03 +0.53 (+4.61%),0.53,+4.61%,12.112M,9.418M,9.734B,8.30,-33.06%,
43,JHX,James Hardie Industries plc,,22.48 +0.99 (+4.61%),0.99,+4.61%,3.428M,1.483M,9.738B,22.26,-37.31%,
44,CERT,"Certara, Inc.",,14.15 +0.62 (+4.58%),0.62,+4.58%,2.113M,1.797M,2.285B,-,-16.53%,
45,FRO,Frontline plc,,15.44 +0.67 (+4.54%),0.67,+4.54%,1.962M,3.21M,3.437B,6.92,-35.42%,
46,DINO,HF Sinclair Corporation,,29.03 +1.25 (+4.50%),1.25,+4.50%,2.411M,3.546M,5.469B,31.90,-50.64%,
47,WHD,"Cactus, Inc.",,37.81 +1.62 (+4.48%),1.62,+4.48%,1.076M,836763,2.583B,13.65,-26.40%,
48,AEO,"American Eagle Outfitters, Inc.",,10.74 +0.46 (+4.47%),0.46,+4.47%,7.762M,6.464M,1.853B,6.39,-53.98%,
